epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.7296,0.76692,65.5325,0.44145,0,0,0,0,0.05586,0,0.0315,1.65e-05,1.65e-05,1.65e-05
2,57.7868,0.9866,64.0272,0.55329,0,0,0,0,0.06068,0,0.03406,3.28383e-05,3.28383e-05,3.28383e-05
3,85.4029,2.09726,62.4662,1.07737,0,0,0,0,0.0687,0,0.03941,4.88466e-05,4.88466e-05,4.88466e-05
4,112.674,5.48031,31.5281,2.66614,0,0,0,0,0.22114,0.0014,0.11428,4.8515e-05,4.8515e-05,4.8515e-05
5,139.64,4.32876,9.97361,2.56131,0,0,0,0,0.12996,0.00279,0.06988,4.802e-05,4.802e-05,4.802e-05
6,166.701,4.13072,8.81308,1.87415,0,0,0,0,0.06953,0.00586,0.04106,4.7525e-05,4.7525e-05,4.7525e-05
7,194.018,3.53165,7.91483,1.53588,0,0,0,0,0.04813,0.00363,0.0301,4.703e-05,4.703e-05,4.703e-05
8,221.907,3.21463,7.36572,1.47031,0,0,0,0,0.04841,0.03599,0.03142,4.6535e-05,4.6535e-05,4.6535e-05
9,249.93,2.99245,7.00457,1.43322,0,0,0,0,0.05324,0.01758,0.03381,4.604e-05,4.604e-05,4.604e-05
10,277.844,2.69089,6.84326,1.36306,0,0,0,0,0.06376,0.00446,0.03764,4.5545e-05,4.5545e-05,4.5545e-05
11,307.553,2.43661,6.73717,1.26273,0,0,0,0,0.07618,0.00112,0.04299,4.505e-05,4.505e-05,4.505e-05
12,337.179,2.19766,6.64823,1.21324,0,0,0,0,0.06858,0,0.03883,4.4555e-05,4.4555e-05,4.4555e-05
13,367.436,1.99552,6.58105,1.15738,0,0,0,0,0.07105,0,0.03908,4.406e-05,4.406e-05,4.406e-05
14,396.583,1.86839,6.53386,1.12228,0,0,0,0,0.08549,0,0.04507,4.3565e-05,4.3565e-05,4.3565e-05
15,425.139,1.93772,6.43907,1.12874,0,0,0,0,0.69737,0.33817,0.28162,4.307e-05,4.307e-05,4.307e-05
16,453.005,1.99379,6.33956,1.15754,0,0,0,0,6.80754,6.03634,2.31611,4.2575e-05,4.2575e-05,4.2575e-05
17,482.526,1.95665,6.29504,1.15964,0,0,0,0,3.31302,6.0924,1.75005,4.208e-05,4.208e-05,4.208e-05
18,510.496,1.9089,6.23801,1.17439,0,0,0,0,1.98005,6.0229,1.45406,4.1585e-05,4.1585e-05,4.1585e-05
19,538.892,1.78294,6.16882,1.13067,0,0,0,0,1.50135,5.99358,1.39277,4.109e-05,4.109e-05,4.109e-05
20,567.612,1.69169,6.11204,1.11794,0,0,0,0,1.40614,5.94446,1.34085,4.0595e-05,4.0595e-05,4.0595e-05
21,597.679,1.59552,6.04814,1.09877,0,0,0,0,1.40354,5.86118,1.28315,4.01e-05,4.01e-05,4.01e-05
22,627.666,1.505,5.96088,1.06909,0,0,0,0,1.3891,5.78803,1.2545,3.9605e-05,3.9605e-05,3.9605e-05
23,656.57,1.4411,5.89045,1.05566,0,0,0,0,1.38457,5.73188,1.25119,3.911e-05,3.911e-05,3.911e-05
24,684.384,1.374,5.80293,1.03974,0,0,0,0,1.27002,5.62548,1.21802,3.8615e-05,3.8615e-05,3.8615e-05
25,711.431,1.36055,5.69958,1.02722,0.00092,0.0048,0.00159,0.00093,1.19335,5.52656,1.19945,3.812e-05,3.812e-05,3.812e-05
26,738.334,1.31138,5.59497,1.01695,0.00036,0.0051,0.002,0.0012,1.16064,5.45644,1.20947,3.7625e-05,3.7625e-05,3.7625e-05
27,765.185,1.26171,5.49449,1.00329,0.00015,0.0051,0.00143,0.00086,1.09467,5.34113,1.19288,3.713e-05,3.713e-05,3.713e-05
28,791.794,1.24053,5.39554,0.99551,0.00079,0.00694,0.00195,0.00124,1.04125,5.21545,1.16571,3.6635e-05,3.6635e-05,3.6635e-05
29,818.814,1.24555,5.30506,0.99984,0.00072,0.0099,0.00215,0.00156,1.06217,5.13482,1.17383,3.614e-05,3.614e-05,3.614e-05
30,845.681,1.21562,5.22831,0.99868,0.00055,0.01413,0.00191,0.00124,1.098,5.02031,1.16714,3.5645e-05,3.5645e-05,3.5645e-05
31,872.791,1.2,5.11985,0.98597,0.00057,0.01577,0.00213,0.00145,0.97797,4.95664,1.15392,3.515e-05,3.515e-05,3.515e-05
32,899.654,1.1683,5.05514,0.98488,0.00069,0.02026,0.00239,0.00183,0.90167,4.85599,1.14427,3.4655e-05,3.4655e-05,3.4655e-05
33,927.165,1.17124,4.97396,0.97108,0.00072,0.01995,0.00252,0.00208,0.92428,4.8095,1.14842,3.416e-05,3.416e-05,3.416e-05
34,954.308,1.145,4.90123,0.97127,0.00093,0.0226,0.00284,0.00234,0.91599,4.73879,1.14358,3.3665e-05,3.3665e-05,3.3665e-05
