epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.3503,1.54763,4.38576,1.25439,0.00216,0.00913,0.00122,0.00102,0.70882,3.84171,1.38309,1.65e-05,1.65e-05,1.65e-05
2,65.4194,1.45828,4.3572,1.24967,0.00536,0.00913,0.00284,0.00246,0.70535,3.80831,1.37859,3.28383e-05,3.28383e-05,3.28383e-05
3,97.9638,1.44703,4.33241,1.2333,0.00448,0.00878,0.00241,0.00207,0.69073,3.72798,1.36436,4.88466e-05,4.88466e-05,4.88466e-05
4,130.118,1.43574,4.27906,1.21466,0.00336,0.00806,0.00184,0.00158,0.67702,3.71678,1.36075,4.8515e-05,4.8515e-05,4.8515e-05
5,162.603,1.36819,4.24361,1.21029,0.00643,0.00918,0.00343,0.00286,0.66982,3.67866,1.35102,4.802e-05,4.802e-05,4.802e-05
6,195.669,1.38547,4.21746,1.19039,0.00723,0.00903,0.00384,0.00314,0.65223,3.63393,1.33398,4.7525e-05,4.7525e-05,4.7525e-05
7,229.101,1.3846,4.18541,1.17751,0.0057,0.00939,0.00308,0.00253,0.66301,3.60721,1.32342,4.703e-05,4.703e-05,4.703e-05
8,262.508,1.32846,4.14411,1.15717,0.00755,0.00939,0.00405,0.00331,0.66717,3.5793,1.3105,4.6535e-05,4.6535e-05,4.6535e-05
9,295.846,1.34431,4.13271,1.14873,0.00539,0.00888,0.00295,0.00244,0.64351,3.54786,1.30347,4.604e-05,4.604e-05,4.604e-05
10,328.626,1.33194,4.10667,1.14821,0.00534,0.00939,0.00291,0.00242,0.63853,3.53046,1.29555,4.5545e-05,4.5545e-05,4.5545e-05
11,361.303,1.25526,4.06377,1.13091,0.00524,0.00893,0.00286,0.00236,0.62246,3.53071,1.29314,4.505e-05,4.505e-05,4.505e-05
12,393.299,1.25261,4.06916,1.12879,0.00531,0.00862,0.00291,0.00244,0.6238,3.50571,1.28827,4.4555e-05,4.4555e-05,4.4555e-05
13,425.375,1.25879,4.05125,1.12199,0.00529,0.00918,0.00289,0.00244,0.62077,3.5119,1.28773,4.406e-05,4.406e-05,4.406e-05
14,457.44,1.27623,4.04432,1.11844,0.00484,0.00903,0.00265,0.00224,0.6295,3.49655,1.27749,4.3565e-05,4.3565e-05,4.3565e-05
15,489.232,1.23516,4.01837,1.10209,0.00434,0.00923,0.00239,0.00207,0.62391,3.48064,1.26957,4.307e-05,4.307e-05,4.307e-05
16,520.954,1.16783,3.98205,1.09369,0.00413,0.00903,0.0023,0.00199,0.62052,3.4839,1.26964,4.2575e-05,4.2575e-05,4.2575e-05
17,552.952,1.17422,3.9691,1.08466,0.00491,0.00913,0.00273,0.00236,0.58859,3.46987,1.26233,4.208e-05,4.208e-05,4.208e-05
18,585.11,1.1562,3.94799,1.08565,0.00439,0.00908,0.00243,0.00213,0.58873,3.44587,1.25382,4.1585e-05,4.1585e-05,4.1585e-05
19,617.453,1.14842,3.93659,1.07634,0.00578,0.00944,0.00315,0.0027,0.59024,3.44619,1.25356,4.109e-05,4.109e-05,4.109e-05
20,649.276,1.16481,3.92556,1.08218,0.0052,0.00969,0.00285,0.00252,0.57444,3.43683,1.2474,4.0595e-05,4.0595e-05,4.0595e-05
21,681.306,1.10163,3.88068,1.07812,0.00473,0.00898,0.00259,0.00223,0.57685,3.44156,1.2449,4.01e-05,4.01e-05,4.01e-05
