epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4494,1.65477,5.09239,2.246,0.77319,0.06667,0.12783,0.098,1.03122,4.14764,3.44025,0.00046,0.00046,0.00046
2,17.7039,1.14649,2.5292,1.78997,0.3872,0.4,0.31082,0.18136,1.39149,3.29983,2.77684,0.000939871,0.000939871,0.000939871
3,22.7904,1.09132,1.54598,1.72278,0.63383,0.63474,0.63003,0.45127,1.27365,2.0367,2.73291,0.00141971,0.00141971,0.00141971
4,27.577,1.12264,1.22868,1.78914,0.78438,0.6,0.73412,0.50655,1.21599,1.7957,2.76289,0.0018995,0.0018995,0.0018995
5,32.3702,1.04055,0.99189,1.68372,0.76362,0.7,0.79125,0.56182,1.019,1.22344,2.38855,0.00199936,0.00199936,0.00199936
6,37.0845,1.06645,0.94962,1.68746,0.79767,0.56667,0.67669,0.45944,1.23155,1.45339,2.62415,0.00199925,0.00199925,0.00199925
7,41.7626,1.00809,0.90965,1.69686,0.62989,0.62426,0.68516,0.51533,1.16035,1.18478,2.3645,0.00199914,0.00199914,0.00199914
8,46.5504,0.99123,0.8575,1.66515,0.76044,0.7,0.79509,0.55437,1.08926,1.16231,2.48925,0.00199904,0.00199904,0.00199904
9,51.3108,0.96952,0.83568,1.63553,0.73238,0.8,0.80747,0.55815,0.93559,1.14716,2.71437,0.00199893,0.00199893,0.00199893
10,56.0885,0.92317,0.76319,1.63132,0.84707,0.8,0.90564,0.62734,0.90173,1.06882,2.66143,0.00199882,0.00199882,0.00199882
11,60.92,0.95549,0.73886,1.67538,0.93301,0.76667,0.93159,0.65412,0.99314,0.82471,2.38597,0.00199871,0.00199871,0.00199871
12,65.6161,0.92204,0.72348,1.6197,0.65752,0.76798,0.77215,0.58497,0.91913,1.08712,3.13002,0.0019986,0.0019986,0.0019986
13,70.3143,0.90375,0.71473,1.64742,0.74723,0.78855,0.81195,0.65126,1.02095,0.84637,2.61778,0.00199849,0.00199849,0.00199849
14,75.1523,0.95422,0.74151,1.58861,0.83358,0.86667,0.90858,0.70886,0.922,0.73224,2.46346,0.00199838,0.00199838,0.00199838
15,79.7908,0.90057,0.71878,1.67197,0.91063,0.73333,0.84975,0.62765,0.99812,0.85935,2.26133,0.00199827,0.00199827,0.00199827
16,84.4149,0.93453,0.71023,1.56386,0.79046,0.62888,0.75369,0.55331,1.02044,1.29585,2.27223,0.00199816,0.00199816,0.00199816
17,89.0484,0.8672,0.67908,1.57355,0.90883,0.76667,0.85325,0.67681,0.80216,0.96016,2.53456,0.00199806,0.00199806,0.00199806
18,93.7074,0.85532,0.62729,1.55248,0.86401,0.84738,0.92481,0.70575,0.88769,0.8849,2.80561,0.00199795,0.00199795,0.00199795
19,98.3914,0.88157,0.66122,1.59339,0.9339,0.83333,0.9194,0.66402,0.9029,0.82124,2.31462,0.00199785,0.00199785,0.00199785
20,103.046,0.84593,0.6196,1.53316,0.72277,0.8,0.84907,0.58748,1.03211,0.99035,2.35291,0.00199774,0.00199774,0.00199774
21,107.674,0.84414,0.65703,1.59865,0.95825,0.9,0.96367,0.73223,0.84266,0.59346,2.19515,0.00199763,0.00199763,0.00199763
22,112.292,0.86629,0.65326,1.54986,0.88511,0.9,0.96001,0.76853,0.76746,0.60404,2.43586,0.00199753,0.00199753,0.00199753
23,117.008,0.8783,0.6406,1.53818,0.80948,0.70835,0.80912,0.57588,1.12949,0.97451,2.59483,0.00199742,0.00199742,0.00199742
24,121.658,0.83774,0.63279,1.54159,0.83541,0.8,0.88792,0.69312,0.82718,0.92411,2.40982,0.00199731,0.00199731,0.00199731
