epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.56309,1.10112,3.61963,1.24596,0.00345,1,0.20093,0.14212,0.82899,3.11047,1.13021,0.00038341,0.00038341,0.00038341
2,12.1627,1.09272,2.76405,1.18802,0.7397,0.1746,0.23511,0.18065,1.23098,2.87288,1.53098,0.000783427,0.000783427,0.000783427
3,17.6481,1.14104,2.37503,1.16946,0.5576,0.22222,0.33106,0.20008,1.33773,2.6454,1.97081,0.0011834,0.0011834,0.0011834
4,22.8512,1.0982,2.12364,1.17623,0.32691,0.2619,0.13679,0.08745,1.318,4.05819,1.66243,0.00158332,0.00158332,0.00158332
5,27.8804,1.07598,1.84311,1.14255,0.29111,0.44444,0.23408,0.12708,1.48086,3.62245,1.73263,0.00166656,0.00166656,0.00166656
6,33.3128,1.08809,1.75942,1.15657,0.20798,0.25958,0.16914,0.09274,1.48222,4.2589,1.79844,0.00166646,0.00166646,0.00166646
7,38.3581,1.06552,1.62947,1.13931,0.55885,0.4127,0.43307,0.24592,1.17197,3.83435,1.50127,0.00166636,0.00166636,0.00166636
8,43.3588,1.1107,1.57819,1.16469,0.37827,0.48413,0.34688,0.21599,1.35051,2.22962,1.55696,0.00166626,0.00166626,0.00166626
9,48.353,1.02407,1.40274,1.11825,0.393,0.48413,0.43324,0.29365,1.29619,1.87556,1.61124,0.00166617,0.00166617,0.00166617
10,53.2642,0.96621,1.30274,1.08492,0.59216,0.42857,0.46499,0.32847,1.2342,2.03228,1.55607,0.00166607,0.00166607,0.00166607
11,58.3348,0.97057,1.19915,1.07472,0.75778,0.39683,0.54065,0.40303,1.09624,1.73269,1.45736,0.00166597,0.00166597,0.00166597
12,63.6164,0.99466,1.21975,1.10817,0.47437,0.37302,0.44606,0.3172,1.05971,1.74722,1.34361,0.00166588,0.00166588,0.00166588
13,68.5874,0.95607,1.104,1.07578,0.9044,0.3254,0.46788,0.34494,1.22553,1.79214,1.48775,0.00166578,0.00166578,0.00166578
14,73.5998,0.94898,1.10017,1.0662,0.73979,0.54091,0.63234,0.41293,1.15314,1.67168,1.40226,0.00166568,0.00166568,0.00166568
