epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,800.337,2.91004,11.8526,0.66718,3.15693,4.05967,0.00333,1,0.03661,0.01739,0,0,0,0,1.14854,11.9776,0.56938,3.44774,4.45783,0.00066,0.00066,0.00066
2,1529.87,2.6232,11.9123,0.57529,2.7363,3.35625,0.00333,1,0.03661,0.01739,0,0,0,0,4.36164,11.9987,0.07206,13.6513,9.0481,0.00131353,0.00131353,0.00131353
3,2298.92,2.06971,11.8878,0.51867,1.96764,2.76599,0.02505,0.53,0.02374,0.00495,0,0,0,0,2.84585,11.9993,0.01016,7.48117,3.54957,0.00195387,0.00195387,0.00195387
4,3038.7,1.65797,11.8515,0.51051,1.47167,2.37951,0.11858,0.76549,0.11411,0.08551,0,0,0,0,0.95365,11.9997,0.011,4.76873,1.95379,0.0019406,0.0019406,0.0019406
5,3767.72,1.18737,11.9104,0.47765,1.01999,1.9089,0.99863,1,0.995,0.89427,0,0,0,0,0.66997,11.9998,0.08125,0.87525,1.1559,0.0019208,0.0019208,0.0019208
6,4502.65,0.98945,11.8766,0.46707,0.79989,1.69996,0.9985,1,0.995,0.89552,0,0,0,0,0.56924,11.9999,0.10877,0.84705,1.06669,0.001901,0.001901,0.001901
7,5255.63,0.7657,11.8966,0.42791,0.63161,1.49068,0.99938,1,0.995,0.98735,0,0,0,0,0.33768,12,0.00412,0.44428,0.93138,0.0018812,0.0018812,0.0018812
8,5967.59,0.66605,11.9213,0.42446,0.54941,1.37339,0.99946,1,0.995,0.90864,0,0,0,0,0.4105,12,0.04048,0.54451,0.74907,0.0018614,0.0018614,0.0018614
9,6682.2,0.58312,11.8874,0.39848,0.50079,1.28645,0.99946,1,0.995,0.995,0,0,0,0,0.22004,11.9995,0.0229,0.24173,0.54291,0.0018416,0.0018416,0.0018416
10,7430.72,0.57462,11.9151,0.32942,0.47688,1.26045,0.99945,1,0.995,0.995,0,0,0,0,0.17652,12,0.0465,0.24959,0.48856,0.0018218,0.0018218,0.0018218
11,8184.09,0.5427,11.8621,0.29935,0.44844,1.23051,0.99936,1,0.995,0.99396,0,0,0,0,0.18452,12,0.00518,0.25277,0.40826,0.001802,0.001802,0.001802
12,8938.11,0.46818,11.7984,0.27411,0.41026,1.16901,0.99945,1,0.995,0.99277,0,0,0,0,0.35753,12,0.02276,0.23459,0.52033,0.0017822,0.0017822,0.0017822
13,9693.88,0.45292,11.9617,0.2429,0.40207,1.13521,0.99943,1,0.995,0.995,0,0,0,0,0.11467,12,0.00357,0.20378,0.3431,0.0017624,0.0017624,0.0017624
14,10452.2,0.4169,11.9119,0.22428,0.37107,1.11016,0.99945,1,0.995,0.995,0,0,0,0,0.18706,12,0.01459,0.1538,0.35983,0.0017426,0.0017426,0.0017426
15,11171.1,0.40341,11.9083,0.22242,0.36283,1.09186,0.99947,1,0.995,0.995,0,0,0,0,0.1671,11.9991,0.00246,0.18293,0.34288,0.0017228,0.0017228,0.0017228
16,11900.2,0.37072,11.8937,0.19093,0.34238,1.0617,0.99949,1,0.995,0.995,0,0,0,0,0.07848,12,0.00402,0.13598,0.28137,0.001703,0.001703,0.001703
17,12631.2,0.35764,11.926,0.19582,0.34115,1.05194,0.99932,1,0.995,0.995,0,0,0,0,0.11645,12,0.00952,0.18263,0.26792,0.0016832,0.0016832,0.0016832
18,13377.8,0.34371,11.8644,0.17594,0.32838,1.03392,0.99945,1,0.995,0.995,0,0,0,0,0.1057,12,0.00184,0.12424,0.29083,0.0016634,0.0016634,0.0016634
19,14120,0.34914,11.9074,0.15961,0.3311,1.03738,0.99948,1,0.995,0.995,0,0,0,0,0.17358,12,0.02596,0.19602,0.31038,0.0016436,0.0016436,0.0016436
20,14864,0.38072,11.8783,0.17277,0.33585,1.04594,0.99943,1,0.995,0.995,0,0,0,0,0.11993,12,0.00028,0.1647,0.2747,0.0016238,0.0016238,0.0016238
21,15609.3,0.33265,11.8733,0.1799,0.3209,1.02636,0.99942,1,0.995,0.995,0,0,0,0,0.11613,12,0.02498,0.18106,0.23881,0.001604,0.001604,0.001604
22,16340.5,0.32663,11.8971,0.15732,0.30895,1.01421,0.99946,1,0.995,0.995,0,0,0,0,0.10037,12,0.04545,0.09593,0.23007,0.0015842,0.0015842,0.0015842
23,17073.2,0.29699,11.8891,0.16991,0.29714,0.99741,0.99947,1,0.995,0.995,0,0,0,0,0.08047,12,0.00195,0.09708,0.23645,0.0015644,0.0015644,0.0015644
24,17808.2,0.30022,11.9365,0.15607,0.29602,1.00129,0.99948,1,0.995,0.995,0,0,0,0,0.07258,12,0.02803,0.18815,0.20145,0.0015446,0.0015446,0.0015446
25,18541.5,0.27987,11.9057,0.14462,0.28401,0.98564,0.99947,1,0.995,0.995,0,0,0,0,0.08068,12,0.00071,0.14812,0.19787,0.0015248,0.0015248,0.0015248
26,19272.2,0.28331,11.9159,0.14297,0.28717,0.98565,0.99947,1,0.995,0.995,0,0,0,0,0.08227,12,0.00737,0.08929,0.19453,0.001505,0.001505,0.001505
27,20001.9,0.26519,11.9163,0.12931,0.27112,0.97101,0.99947,1,0.995,0.995,0,0,0,0,0.06979,12,0.00372,0.18923,0.20429,0.0014852,0.0014852,0.0014852
28,20728.3,0.25268,11.9176,0.12834,0.26349,0.97529,0.99947,1,0.995,0.995,0,0,0,0,0.06256,12,0.02253,0.14592,0.20694,0.0014654,0.0014654,0.0014654
29,21453.3,0.25188,11.9147,0.13263,0.25835,0.96577,0.99948,1,0.995,0.995,0,0,0,0,0.04768,12,0.00353,0.15678,0.19823,0.0014456,0.0014456,0.0014456
30,22177.5,0.25096,11.9012,0.1247,0.25765,0.96863,0.99946,1,0.995,0.995,0,0,0,0,0.07762,12,0.00157,0.13426,0.16675,0.0014258,0.0014258,0.0014258
31,22907.4,0.24547,11.8888,0.12498,0.26087,0.957,0.99948,1,0.995,0.995,0,0,0,0,0.0635,12,0.00175,0.08699,0.17375,0.001406,0.001406,0.001406
32,23635.8,0.22424,11.9394,0.11297,0.24733,0.96136,0.99948,1,0.995,0.995,0,0,0,0,0.03512,12,0.00064,0.0689,0.19079,0.0013862,0.0013862,0.0013862
33,24363.5,0.23233,11.8415,0.11042,0.24974,0.95801,0.99947,1,0.995,0.995,0,0,0,0,0.06657,12,0.00808,0.07316,0.20211,0.0013664,0.0013664,0.0013664
34,25088.5,0.23256,11.9003,0.10981,0.24136,0.96045,0.99948,1,0.995,0.995,0,0,0,0,0.07009,12,0.00079,0.07735,0.1955,0.0013466,0.0013466,0.0013466
35,25821.7,0.2389,11.8647,0.11962,0.24445,0.9565,0.99947,1,0.995,0.995,0,0,0,0,0.08691,12,0.00855,0.13437,0.20843,0.0013268,0.0013268,0.0013268
36,26548,0.22934,11.9223,0.10251,0.24216,0.95505,1,1,0.995,0.995,0,0,0,0,0.07674,11.9993,0.01356,0.13981,0.20523,0.001307,0.001307,0.001307
37,27278.9,0.22172,11.9042,0.10995,0.24133,0.9446,1,1,0.995,0.995,0,0,0,0,0.0662,12,0.01603,0.12097,0.19832,0.0012872,0.0012872,0.0012872
38,28013.3,0.21117,11.884,0.10512,0.23466,0.94344,0.99947,1,0.995,0.995,0,0,0,0,0.07263,12,1e-05,0.15922,0.22627,0.0012674,0.0012674,0.0012674
39,28758.8,0.21486,11.8607,0.10887,0.23281,0.94558,0.99948,1,0.995,0.995,0,0,0,0,0.03779,12,0.0004,0.07111,0.15448,0.0012476,0.0012476,0.0012476
40,29510.4,0.20936,11.895,0.11084,0.23276,0.95227,0.99947,1,0.995,0.995,0,0,0,0,0.07651,12,0.00143,0.0781,0.20463,0.0012278,0.0012278,0.0012278
41,30243.8,0.21278,11.9008,0.10194,0.22884,0.94477,1,1,0.995,0.995,0,0,0,0,0.06785,12,0.00263,0.09154,0.17292,0.001208,0.001208,0.001208
42,30977.8,0.21852,11.8941,0.09501,0.23174,0.95196,0.99947,1,0.995,0.995,0,0,0,0,0.04772,12,0.00745,0.07218,0.17261,0.0011882,0.0011882,0.0011882
43,31715.7,0.18456,11.8993,0.09618,0.21348,0.94293,0.99947,1,0.995,0.995,0,0,0,0,0.0437,12,0.00011,0.06208,0.16236,0.0011684,0.0011684,0.0011684
44,32454.3,0.19557,11.9035,0.08877,0.21513,0.93186,1,1,0.995,0.995,0,0,0,0,0.04796,12,0.00078,0.07414,0.16141,0.0011486,0.0011486,0.0011486
45,33195.8,0.19143,11.9463,0.09506,0.21282,0.93483,0.99947,1,0.995,0.995,0,0,0,0,0.07122,12,0.0006,0.07583,0.18246,0.0011288,0.0011288,0.0011288
46,33931.1,0.19915,11.8949,0.08642,0.2189,0.9319,0.99948,1,0.995,0.995,0,0,0,0,0.05358,12,0.00031,0.1252,0.17392,0.001109,0.001109,0.001109
47,34665.1,0.18529,11.9067,0.07857,0.21293,0.93039,1,1,0.995,0.995,0,0,0,0,0.03421,12,0.00087,0.05948,0.1646,0.0010892,0.0010892,0.0010892
48,35401.3,0.17429,11.8881,0.08696,0.20435,0.92768,0.99949,1,0.995,0.995,0,0,0,0,0.0293,12,0.00117,0.05828,0.15141,0.0010694,0.0010694,0.0010694
49,36134.6,0.17533,11.8549,0.08477,0.20309,0.92962,0.99948,1,0.995,0.995,0,0,0,0,0.03804,12,0.00055,0.06179,0.15892,0.0010496,0.0010496,0.0010496
50,36866.5,0.17697,11.9074,0.0852,0.20218,0.93344,0.99947,1,0.995,0.995,0,0,0,0,0.07797,12,0.0008,0.07229,0.16028,0.0010298,0.0010298,0.0010298
51,37602,0.17946,11.9339,0.07611,0.20651,0.92909,1,1,0.995,0.995,0,0,0,0,0.03356,12,0.00031,0.05722,0.15155,0.00101,0.00101,0.00101
52,38340.9,0.17387,11.9054,0.07783,0.20161,0.92557,0.99948,1,0.995,0.995,0,0,0,0,0.0346,12,0.0042,0.09096,0.14416,0.0009902,0.0009902,0.0009902
53,39081.4,0.16069,11.918,0.08013,0.18996,0.92427,1,1,0.995,0.995,0,0,0,0,0.06257,12,0.0005,0.07494,0.17416,0.0009704,0.0009704,0.0009704
54,39821.5,0.16679,11.9333,0.07916,0.19904,0.92262,1,1,0.995,0.995,0,0,0,0,0.03028,12,1e-05,0.05394,0.16382,0.0009506,0.0009506,0.0009506
55,40566.2,0.16365,11.9259,0.06825,0.19081,0.92272,1,1,0.995,0.995,0,0,0,0,0.05389,12,0.00025,0.06709,0.15057,0.0009308,0.0009308,0.0009308
56,41314.4,0.1659,11.8584,0.07254,0.19138,0.91766,0.99948,1,0.995,0.995,0,0,0,0,0.03003,12,0.00179,0.04654,0.16557,0.000911,0.000911,0.000911
57,42022.4,0.15456,11.9558,0.07213,0.18495,0.92595,0.99948,1,0.995,0.995,0,0,0,0,0.04862,12,0.00098,0.05607,0.15748,0.0008912,0.0008912,0.0008912
58,42717.3,0.1487,11.8883,0.07113,0.18597,0.92148,1,1,0.995,0.995,0,0,0,0,0.05035,12,0.00073,0.12666,0.16447,0.0008714,0.0008714,0.0008714
59,43411.8,0.15896,11.9086,0.07368,0.19202,0.92117,0.99948,1,0.995,0.995,0,0,0,0,0.02909,12,0.00044,0.03994,0.13992,0.0008516,0.0008516,0.0008516
60,44104.6,0.16296,11.8966,0.0734,0.19012,0.91763,0.99948,1,0.995,0.995,0,0,0,0,0.04528,12,0.00062,0.06079,0.14493,0.0008318,0.0008318,0.0008318
61,44793.3,0.15478,11.8584,0.07335,0.18711,0.91691,1,1,0.995,0.995,0,0,0,0,0.03178,12,0.00035,0.04518,0.14216,0.000812,0.000812,0.000812
62,45480.9,0.14464,11.9303,0.06376,0.17449,0.91061,1,1,0.995,0.995,0,0,0,0,0.03253,12,0.00051,0.07726,0.15378,0.0007922,0.0007922,0.0007922
63,46177.2,0.14832,11.8948,0.06779,0.17982,0.9132,1,1,0.995,0.995,0,0,0,0,0.02369,12,0.00612,0.05251,0.13435,0.0007724,0.0007724,0.0007724
64,46900.7,0.14542,11.8949,0.06852,0.18108,0.91234,1,1,0.995,0.995,0,0,0,0,0.0481,12,0.00285,0.0681,0.15016,0.0007526,0.0007526,0.0007526
65,47600.4,0.14388,11.8803,0.06575,0.17461,0.9132,0.99948,1,0.995,0.995,0,0,0,0,0.02759,12,0.00081,0.04573,0.12596,0.0007328,0.0007328,0.0007328
66,48284,0.14574,11.9065,0.0686,0.17942,0.91238,0.99948,1,0.995,0.995,0,0,0,0,0.03338,12,0.00025,0.04453,0.14081,0.000713,0.000713,0.000713
67,49068.9,0.1431,11.8687,0.06524,0.17209,0.91285,0.99948,1,0.995,0.995,0,0,0,0,0.03286,12,0.0001,0.04647,0.14552,0.0006932,0.0006932,0.0006932
68,49859.7,0.13977,11.8987,0.05904,0.17251,0.91008,0.99949,1,0.995,0.995,0,0,0,0,0.02498,12,0.00177,0.0451,0.14008,0.0006734,0.0006734,0.0006734
69,50648.4,0.13302,11.9176,0.06397,0.16656,0.90641,1,1,0.995,0.995,0,0,0,0,0.02381,12,0.00014,0.04755,0.13488,0.0006536,0.0006536,0.0006536
70,51353.8,0.13302,11.8533,0.06398,0.17047,0.90961,0.99949,1,0.995,0.995,0,0,0,0,0.05419,12,0.00074,0.06506,0.1367,0.0006338,0.0006338,0.0006338
71,52025.6,0.13574,11.8952,0.05775,0.17059,0.90653,0.99949,1,0.995,0.995,0,0,0,0,0.04311,12,0.00036,0.05446,0.14003,0.000614,0.000614,0.000614
72,52699.6,0.12729,11.9289,0.06049,0.16584,0.91091,1,1,0.995,0.995,0,0,0,0,0.0339,12,9e-05,0.07811,0.13306,0.0005942,0.0005942,0.0005942
73,53383.2,0.1267,11.8972,0.06525,0.16148,0.90693,0.99948,1,0.995,0.995,0,0,0,0,0.02758,12,0.00121,0.04226,0.12981,0.0005744,0.0005744,0.0005744
74,54111.3,0.13048,11.8923,0.05391,0.16605,0.90474,1,1,0.995,0.995,0,0,0,0,0.02957,12,0.00021,0.04708,0.12285,0.0005546,0.0005546,0.0005546
75,54829.5,0.12695,11.879,0.05248,0.16751,0.90913,1,1,0.995,0.995,0,0,0,0,0.03817,12,0.00016,0.06865,0.13643,0.0005348,0.0005348,0.0005348
76,55551,0.12402,11.9275,0.05748,0.15971,0.90686,1,1,0.995,0.995,0,0,0,0,0.03002,12,0.0002,0.06613,0.12981,0.000515,0.000515,0.000515
77,56280.9,0.12294,11.8996,0.05752,0.15878,0.91319,0.99949,1,0.995,0.995,0,0,0,0,0.02556,12,0.00017,0.04471,0.13874,0.0004952,0.0004952,0.0004952
78,57041.1,0.12068,11.9027,0.05633,0.1573,0.90663,0.99948,1,0.995,0.995,0,0,0,0,0.01904,12,0.00017,0.03915,0.12889,0.0004754,0.0004754,0.0004754
79,57817.9,0.12086,11.915,0.05528,0.15944,0.9053,1,1,0.995,0.995,0,0,0,0,0.02673,12,0.00032,0.05443,0.11628,0.0004556,0.0004556,0.0004556
80,58590.6,0.12319,11.912,0.05489,0.16144,0.91061,0.99948,1,0.995,0.995,0,0,0,0,0.02242,12,9e-05,0.03963,0.13568,0.0004358,0.0004358,0.0004358
81,59381.2,0.11496,11.8928,0.0576,0.15412,0.90481,1,1,0.995,0.995,0,0,0,0,0.03211,12,0.0008,0.04641,0.12947,0.000416,0.000416,0.000416
82,60177.1,0.11472,11.8647,0.05393,0.15421,0.90816,1,1,0.995,0.995,0,0,0,0,0.02107,12,0.00021,0.03473,0.1206,0.0003962,0.0003962,0.0003962
83,60958,0.11074,11.9022,0.05752,0.15008,0.8998,0.99949,1,0.995,0.995,0,0,0,0,0.02444,12,4e-05,0.0431,0.1331,0.0003764,0.0003764,0.0003764
84,61756.8,0.11057,11.9123,0.05444,0.15035,0.90335,1,1,0.995,0.995,0,0,0,0,0.02611,12,0.00134,0.03234,0.12517,0.0003566,0.0003566,0.0003566
85,62552.5,0.10973,11.9152,0.04898,0.14728,0.90511,0.99949,1,0.995,0.995,0,0,0,0,0.02816,12,0.00055,0.03003,0.13248,0.0003368,0.0003368,0.0003368
86,63348.3,0.10715,11.9153,0.04795,0.14473,0.90011,1,1,0.995,0.995,0,0,0,0,0.02775,12,0.00047,0.03453,0.13497,0.000317,0.000317,0.000317
87,64142.7,0.10813,11.8946,0.04999,0.14737,0.90103,1,1,0.995,0.995,0,0,0,0,0.02609,12,0.00167,0.03402,0.12623,0.0002972,0.0002972,0.0002972
88,64933.7,0.10735,11.9142,0.04842,0.14596,0.90193,1,1,0.995,0.995,0,0,0,0,0.02179,12,0.00027,0.03087,0.12204,0.0002774,0.0002774,0.0002774
89,65701.9,0.10278,11.8854,0.05015,0.14185,0.899,1,1,0.995,0.995,0,0,0,0,0.02552,12,0.00037,0.04131,0.12556,0.0002576,0.0002576,0.0002576
90,66436.2,0.10089,11.9378,0.04793,0.14384,0.89616,1,1,0.995,0.995,0,0,0,0,0.02184,12,0.00011,0.03298,0.13155,0.0002378,0.0002378,0.0002378
91,67130.2,0.07806,11.9994,0.06228,0.11156,0.85614,0.99949,1,0.995,0.995,0,0,0,0,0.02861,12,1e-05,0.04593,0.13614,0.000218,0.000218,0.000218
92,67800.2,0.07096,11.9993,0.03569,0.09846,0.85265,0.99949,1,0.995,0.995,0,0,0,0,0.01969,12,4e-05,0.03428,0.11099,0.0001982,0.0001982,0.0001982
93,68457.3,0.06146,11.9992,0.03365,0.0891,0.85184,0.99949,1,0.995,0.995,0,0,0,0,0.01991,12,3e-05,0.04046,0.10867,0.0001784,0.0001784,0.0001784
94,69115.6,0.05945,11.9993,0.03196,0.08537,0.84847,0.99949,1,0.995,0.995,0,0,0,0,0.01384,12,2e-05,0.03769,0.1108,0.0001586,0.0001586,0.0001586
95,69772.5,0.05322,11.9992,0.02698,0.07862,0.83956,0.99949,1,0.995,0.995,0,0,0,0,0.0157,11.9998,1e-05,0.03688,0.10254,0.0001388,0.0001388,0.0001388
96,70425.3,0.05047,11.9989,0.03293,0.07898,0.84635,0.99949,1,0.995,0.995,0,0,0,0,0.01419,12,1e-05,0.02737,0.10114,0.000119,0.000119,0.000119
