epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.8567,2.91833,39.5099,0.67982,3.16781,4.08373,0.00333,1,0.01999,0.01053,0,0,0,0,1.11635,39.9548,0.5741,3.53345,4.27812,0.00066,0.00066,0.00066
2,69.4972,2.69735,39.7087,0.58327,2.75868,3.33907,0.2294,0.71,0.29107,0.10719,0,0,0,0,1.65499,39.9844,0.22158,10.1273,2.3584,0.00131353,0.00131353,0.00131353
3,103.605,2.12751,39.626,0.52268,1.97251,2.68261,0.11538,0.75,0.11937,0.04879,0,0,0,0,1.34653,39.9937,0.01287,2.97894,2.46777,0.00195387,0.00195387,0.00195387
4,136.777,1.52211,39.5063,0.51796,1.29453,2.16286,0.84978,0.91,0.94527,0.23334,0,0,0,0,1.34899,39.9743,0.34774,3.31175,2.37678,0.0019406,0.0019406,0.0019406
5,168.72,1.1878,39.7046,0.48044,0.97349,1.8569,1,0.99455,0.995,0.75787,0,0,0,0,0.84059,39.9903,0.1054,1.39612,1.51719,0.0019208,0.0019208,0.0019208
6,200.208,1.02559,39.5932,0.47827,0.81086,1.63797,0.99877,1,0.995,0.89634,0,0,0,0,0.69042,39.9944,0.17749,0.57048,1.34499,0.001901,0.001901,0.001901
7,231.706,0.78989,39.66,0.46913,0.63593,1.45486,0.99899,1,0.995,0.91861,0,0,0,0,0.46315,39.9843,0.27004,0.56017,1.07899,0.0018812,0.0018812,0.0018812
8,265.342,0.70033,39.7408,0.46365,0.56285,1.35427,0.99905,1,0.995,0.89158,0,0,0,0,0.63796,39.9998,0.10164,0.66467,1.16619,0.0018614,0.0018614,0.0018614
9,298.224,0.60895,39.6271,0.45385,0.51052,1.28405,0.9994,1,0.995,0.8318,0,0,0,0,0.6957,39.9947,0.03662,0.48045,1.11362,0.0018416,0.0018416,0.0018416
10,330.525,0.55413,39.7206,0.44294,0.46265,1.22789,0.99942,1,0.995,0.98645,0,0,0,0,0.34289,39.9901,0.10962,0.46538,0.69999,0.0018218,0.0018218,0.0018218
11,362.953,0.51746,39.5401,0.43997,0.44098,1.19953,0.99936,1,0.995,0.89963,0,0,0,0,0.36598,39.9935,0.02907,0.3338,0.74279,0.001802,0.001802,0.001802
12,394.758,0.48132,39.326,0.43165,0.4184,1.15447,0.99943,1,0.995,0.995,0,0,0,0,0.30285,39.9743,0.27487,0.38195,0.54493,0.0017822,0.0017822,0.0017822
13,426.557,0.43106,39.8714,0.40238,0.39651,1.12338,0.99944,1,0.995,0.96838,0,0,0,0,0.41447,39.9971,0.01982,0.41196,0.67302,0.0017624,0.0017624,0.0017624
14,458.042,0.41108,39.7043,0.36934,0.37029,1.1,0.99941,1,0.995,0.995,0,0,0,0,0.26366,39.9921,0.10549,0.26121,0.52942,0.0017426,0.0017426,0.0017426
15,489.617,0.46442,39.6932,0.34534,0.3913,1.11159,0.99944,1,0.995,0.995,0,0,0,0,0.31233,39.9937,0.04573,0.2134,0.54963,0.0017228,0.0017228,0.0017228
16,522.149,0.39855,39.6438,0.29491,0.36342,1.0864,0.99944,1,0.995,0.995,0,0,0,0,0.24055,39.9996,0.0381,0.21339,0.44221,0.001703,0.001703,0.001703
17,554.795,0.36014,39.7519,0.24812,0.34519,1.05516,0.99945,1,0.995,0.995,0,0,0,0,0.22365,39.9999,0.09589,0.26166,0.45639,0.0016832,0.0016832,0.0016832
18,588.145,0.35534,39.5463,0.21842,0.33998,1.04637,0.99945,1,0.995,0.995,0,0,0,0,0.23349,39.9999,0.02098,0.27586,0.422,0.0016634,0.0016634,0.0016634
19,621.928,0.35481,39.689,0.20967,0.33168,1.0423,0.99945,1,0.995,0.995,0,0,0,0,0.14766,39.9965,0.03356,0.15992,0.36638,0.0016436,0.0016436,0.0016436
20,655.361,0.35254,39.5925,0.20439,0.3232,1.037,0.99946,1,0.995,0.995,0,0,0,0,0.14999,39.9804,0.1009,0.24194,0.37699,0.0016238,0.0016238,0.0016238
21,689.669,0.30666,39.5768,0.20618,0.31205,1.02288,0.99946,1,0.995,0.995,0,0,0,0,0.17124,39.9882,0.0069,0.18446,0.48151,0.001604,0.001604,0.001604
22,723.975,0.30824,39.6561,0.1807,0.31086,1.01421,0.99939,1,0.995,0.995,0,0,0,0,0.13988,39.996,0.01068,0.1892,0.3574,0.0015842,0.0015842,0.0015842
